country,generes,count
Sweden,Thriller,2
France,Biography,13
Taiwan,Action,2
,Adventure,1
Hong Kong,Thriller,2
Russia,Fantasy,3
Switzerland,Music,1
Ireland,Drama,7
Turkey,Adventure,1
Netherlands,Comedy,1
UK,Horror,40
Spain,Horror,5
Canada,Crime,18
Denmark,War,1
Romania,Drama,3
Hong Kong,Romance,3
Spain,Thriller,13
South Korea,Action,7
Spain,Romance,8
Slovakia,Drama,1
Italy,History,2
Spain,Mystery,9
Aruba,Thriller,1
Israel,History,2
New Zealand,Romance,5
Germany,Adventure,16
India,Animation,1
France,Animation,12
Canada,Action,26
Germany,Horror,10
Ireland,Action,2
Canada,Animation,3
China,Biography,1
Australia,Mystery,7
Australia,Sci-Fi,13
Spain,Animation,2
Peru,Romance,1
Slovenia,Comedy,1
South Africa,Family,2
Denmark,History,1
Ireland,Comedy,4
Greece,Adventure,1
Belgium,Adventure,3
Pakistan,Family,1
Netherlands,Crime,1
Georgia,Action,1
Japan,Romance,1
Switzerland,Biography,1
China,Comedy,6
,Drama,3
Brazil,Drama,8
Belgium,Sci-Fi,2
Australia,Fantasy,5
Iran,Adventure,1
Russia,Adventure,7
Hong Kong,Biography,2
Spain,Sci-Fi,2
Canada,Family,11
Dominican Republic,Drama,1
Mexico,Romance,3
Israel,Documentary,3
South Korea,Crime,1
Canada,Comedy,41
West Germany,Drama,2
Spain,Drama,24
Norway,Adventure,1
Germany,Animation,4
Hungary,War,1
India,Drama,23
India,History,4
Libya,War,1
South Africa,Sci-Fi,2
South Korea,Adventure,2
Greece,Thriller,2
Thailand,Crime,2
Germany,Romance,24
Russia,Mystery,2
Bahamas,Drama,1
France,Western,3
Denmark,Adventure,1
Italy,Biography,1
Dominican Republic,Crime,1
UK,Thriller,137
Indonesia,Thriller,1
Turkey,Action,1
Nigeria,Action,1
Denmark,Animation,1
Brazil,Action,2
Israel,Romance,1
USA,History,109
Brazil,Romance,1
Romania,Thriller,1
Canada,Horror,29
Thailand,Action,4
New Line,Romance,1
South Africa,Romance,2
Chile,History,1
Australia,Crime,4
Poland,Horror,1
France,Romance,33
Belgium,Fantasy,1
USA,Adventure,685
Japan,Animation,10
USA,Fantasy,487
Czech Republic,Thriller,2
,Thriller,1
Spain,Musical,1
France,Comedy,41
Canada,Biography,6
Hong Kong,Drama,6
South Korea,Sci-Fi,2
Norway,Comedy,4
Canada,Romance,17
UK,Romance,108
South Africa,Adventure,3
Mexico,Family,1
Iceland,Crime,1
Bulgaria,Thriller,1
Switzerland,Drama,1
India,Musical,4
UK,Musical,9
Panama,Sport,1
China,History,11
Hong Kong,Animation,2
UK,Sport,14
Pakistan,Comedy,1
UK,History,39
UK,Comedy,128
Netherlands,Drama,4
Australia,Sport,1
Hong Kong,Family,3
Hungary,Romance,2
France,Music,7
Denmark,Documentary,1
Mexico,Comedy,6
Australia,Romance,13
West Germany,Adventure,2
Denmark,Thriller,2
Argentina,Thriller,2
West Germany,Mystery,1
Ireland,Mystery,1
Slovakia,Biography,1
USA,Reality-TV,1
Spain,Action,2
Canada,Sport,7
Chile,Drama,1
China,Romance,5
Belgium,Comedy,1
China,Adventure,12
,Romance,1
France,Adventure,20
New Zealand,Mystery,1
USA,Western,73
Japan,Horror,4
France,Fantasy,14
Afghanistan,Drama,1
Poland,Action,1
USA,Sci-Fi,480
UK,Short,1
France,Action,31
Poland,Mystery,1
Canada,History,4
South Africa,Biography,2
Thailand,Thriller,2
Nigeria,Drama,1
China,War,5
South Korea,Thriller,5
Sweden,Romance,2
Mexico,War,3
France,Family,12
Greece,Drama,2
Hungary,Drama,1
Australia,Musical,2
Australia,History,2
West Germany,Horror,1
Soviet Union,Mystery,1
Netherlands,Action,1
Bulgaria,Action,1
USA,Film-Noir,6
Argentina,Mystery,1
Belgium,Biography,1
Indonesia,Action,1
Italy,Romance,6
Romania,Horror,1
Slovakia,History,1
Slovakia,Fantasy,1
India,War,3
USA,Short,4
Israel,Biography,1
Hong Kong,War,1
France,Documentary,4
Mexico,Action,1
Bulgaria,Sci-Fi,1
New Zealand,Music,1
Germany,Sci-Fi,11
China,Family,2
Sweden,Adventure,1
Cambodia,Sci-Fi,1
USA,War,114
Canada,Drama,65
India,Romance,18
Soviet Union,Sci-Fi,1
France,Drama,98
New Zealand,Adventure,7
Germany,Action,26
Japan,War,1
France,Horror,13
USA,Mystery,371
South Korea,Horror,3
Romania,Comedy,2
Netherlands,History,1
Canada,Thriller,39
UK,War,33
Israel,Animation,1
Mexico,Thriller,1
Kyrgyzstan,Drama,1
,Reality-TV,1
New Zealand,Crime,2
Sweden,Comedy,1
Netherlands,Adventure,1
India,Crime,1
Italy,Drama,15
